INDEX,NAME,ADDRESS,POSTCODE,LAT,LONG,LAT ,LONG,BOROUGH,PUB,CLOSED,OWNERSHIP,NOTES,LINKS
545587,The Castle,"38 Tooting High Street, London",SW17 0RG,527467,171552,51.428646,-0.167876,Wandsworth,Yes,No,Languard Investments,https://www.london.camra.org.uk/viewnode.php?id=8316,
545588,The Cats Back,"Public House The Cats Back, 86-88 Point Pleasant, London",SW18 1PP,525182,175187,51.461824,-0.199443,Wandsworth,Yes ,No,Harvey's Brewery,,
545594,The Clapham Grand,"The Grand, 21-25 St Johns Hill, London",SW11 1TT,527271,175366,51.462958,-0.169324,Wandsworth,No,No,n/a,,
545595,The Coat And Badge,"8 Lacy Road, London",SW15 1NL,523980,175456,51.464496,-0.216629,Wandsworth,Yes,No,Mitchell & Butlers,,
545599,The Corner Pin,"10 Summerstown, London",SW17 0AY,526199,172026,51.43319,-0.185937,Merton,Yes,No,Independent,,
545603,The Crown,"Public House The Crown Hotel, 102 Lavender Hill, London",SW11 5RD,528188,175696,51.465723,-0.156005,Wandsworth,Yes,No,Enterprise Inns (Stonegate),,
545607,The Devonshire,"39 Balham High Road, London",SW12 9AN,528736,173611,51.446875,-0.148884,Wandsworth,Yes,No,Young & Co,,
545614,The Earl Spencer,"260-262 Merton Road, London",SW18 5JL,525215,173675,51.448228,-0.199503,Wandsworth,Yes,No,Craft Union Pub Co (Stonegate0,,
545616,The East Hill,"21 Alma Road, London",SW18 1AA,526142,174860,51.458681,-0.185747,Wandsworth,Yes ,No,Young & Co,,
545622,The Falcon PH,"The Falcon Public House, 2 St Johns Hill, London",SW11 1RU,527354,175465,51.46383,-0.168086,Wandsworth,Yes,No,Mitchell & Butlers,,
545627,The Flag,"101-103 Culvert Road, London",SW11 5AU,528061,176290,51.471093,-0.157624,Wandsworth,Yes,No,Independent,,
545632,The Four Thieves,"51 Lavender Gardens, London",SW11 1DJ,527728,175503,51.464086,-0.162685,Wandsworth,Yes,No,Laine pub company,,
545633,The Fox And Hounds Public House,"167 Upper Richmond Road, London",SW15 6SE,523917,175054,51.460897,-0.217676,Wandsworth,Yes,No,Dunnings,,
545635,The Furzedown,"118 Mitcham Lane, London",SW16 6NR,529278,171124,51.424391,-0.141992,Wandsworth,Yes ,No,Independent,,
545637,The Gardeners Arms,"268 Merton Road, London",SW18 5JL,525221,173651,51.448011,-0.199425,Wandsworth,Yes ,No,Punch Pubs & Co (Punch Taverns),,
545639,The Garratt Tavern,"89 Garratt Lane, London",SW18 4DW,525793,174212,51.452935,-0.190998,Wandsworth,Yes,Yes,Heineken,,
545641,The Goat Pub,"Public House, 66 Battersea Rise, London",SW11 1EQ,527478,175150,51.46098,-0.166423,Wandsworth,Yes,No,Castle (Mitchell & Butlers),,
545650,The Green Man,"Wildcroft Road, Putney Heath, London",SW15 3NG,622675,-5527598,\N,\N,Wandsworth,Yes,No,Young & Co,,
545651,The Grove PH,"39 Oldridge Road, London",SW12 8PN,528581,173778,51.448401,-0.151048,Wandsworth,Yes,No,Young & Co,,
545652,The Half Moon Inn,"93 Lower Richmond Road, London",SW15 1EU,523732,175760,51.467292,-0.220105,Wandsworth,Yes,No,Young & Co,,
545654,The Heathfield Club,"17 Sandgate Lane, London",SW18 3JP,527195,173221,51.443707,-0.171188,Wandsworth,No,No,n/a,,
545657,The Hop Pole,"64 Putney Bridge Road, London",SW18 1HR,525273,174907,51.459278,-0.198233,Wandsworth,Yes,No,Independent,,
545658,The Hope,"1 Bellevue Road, London",SW17 7EG,527583,173492,51.446055,-0.16551,Wandsworth,Yes,No,Castle (Mitchell & Butlers),,
545665,The Jolly Gardeners,"Jolly Gardener, 61-63 Lacy Road, London",SW15 1NR,523852,175464,51.464596,-0.218468,Wandsworth,Yes,No,Castle (Mitchell & Butlers),,
545668,The Kings Head,"84 Upper Tooting Road, London",SW17 7PB,527780,172139,51.433851,-0.163165,Wandsworth,Yes,No,Greene King,,
545672,The Latchmere,"503 Battersea Park Road, London",SW11 3BW,527510,176378,51.471999,-0.165507,Wandsworth,Yes,No,Three Cheers Pub Company (Stonegate partnership),,
545673,The Leather Bottle,"538 Garratt Lane, London",SW17 0NY,526103,172433,51.436869,-0.187173,Wandsworth,Yes,No,Greene King,,
545676,The Lighthouse,"441 Battersea Park Road, London",SW11 4LR,527711,176454,51.47264,-0.162598,Wandsworth,Yes,No,City Pub Group,,
545682,The Little Taperia,"143 Tooting High Street, London",SW17 0SY,527321,171188,51.425408,-0.170106,Wandsworth,No,No,n/a,Tapas bar,
545683,The London and South Western,"276-288 Lavender Hill, London",SW11 1LJ,527389,175496,51.464097,-0.167585,Wandsworth,Yes,No ,Wetherspoons,,
545688,The Magic Garden,"231 Battersea Park Road, London",SW11 4LG,528523,176771,51.475311,-0.150787,Wandsworth,Yes,No ,Independent,,
545701,The Nightingale PH,"The Nightingale, 97 Nightingale Lane, London",SW12 8NX,528105,173946,51.450018,-0.157838,Wandsworth,Yes,No,Young & Co,,
545702,The Northcote,"2 Northcote Road, London",SW11 1NT,527425,175116,51.460693,-0.1672,Wandsworth,Yes,No ,Young & Co,,
545704,The Old Sergeant,"104 Garratt Lane, London",SW18 4DJ,525826,174057,51.451526,-0.190579,Wandsworth,Yes,No,Grumpy pub company,,
545708,The Park Tavern,"212 Merton Road, London",SW18 5SW,525215,173934,51.450564,-0.199411,Wandsworth,Yes,No ,Independent,,
545719,The Railway,"202 Upper Richmond Road, London",SW15 6TD,523940,175080,51.461126,-0.217336,Wandsworth,Yes,No,Urban Pubs and Bars,,
545720,The Ramble Inn,"223 Mitcham Road, London",SW17 9JG,528020,170900,51.422661,-0.160158,Wandsworth,Yes,No,Independent,,
545722,The Regent,"21 Chestnut Grove, London",SW12 8JB,528395,173294,51.444093,-0.153904,Wandsworth,Yes ,No,Livelyhood,,
545725,The River Bar,"29 Circus Road West, London",SW11 8EZ,528801,177641,51.483058,-0.14647,Wandsworth,No ,Yes,n/a,,
545731,The Roundhouse Public House,"2 North Side Wandsworth Common, London",SW18 2SS,526948,174923,51.459058,-0.174115,Wandsworth,Yes ,No ,City Pub Group,,
545732,The Royal Standard,"1 Ballantine Street, London",SW18 1AL,526071,175106,51.460886,-0.186678,Wandsworth,Yes ,No,Independent,,
545738,The Selkirk,"60 Selkirk Road, London",SW17 0ES,527352,171733,51.430299,-0.169464,Wandsworth,Yes,No ,Indapubs,,
545740,The Ship Inn,"The Ship, 41 Jews Row, London",SW18 1TB,525963,175392,51.463493,-0.188134,Wandsworth,Yes ,No ,Young & Co,,
545745,The Spencer Club,"The Spencer Lawn Tennis Club, Fieldview, London",SW18 3HF,622675,-5527598,\N,\N,Wandsworth,No,No,n/a,Lawn tennis,
545752,The Tapas Room Ltd,"Unit 3-5, 29 Broadway Market, Tooting High Street, London",SW17 0RJ,527561,171521,51.42835,-0.166533,Wandsworth,No,No,n/a,Tapas bar,
545753,The Telegraph PH,"The Telegraph, Telegraph Road, London",SW15 3TU,523341,173691,51.448792,-0.226444,Wandsworth,Yes ,No,Brunning & Price,,
545754,The Tir Na Nog,"Public House, 107 Garratt Lane, London",SW18 4DW,525799,174173,51.452583,-0.190926,Wandsworth,Yes,No,Independent,,
545756,The Union Arms,"109 Battersea Bridge Road, London",SW11 3AT,527301,176933,51.477043,-0.168329,Wandsworth,Yes,No ,Stonegate,,
545759,The Victoria,"166 Queenstown Road, London",SW8 3QH,528711,176504,51.47286,-0.148193,Wandsworth,Yes,No,Heineken,,
545762,The Wandle of Earlsfield,"The Wandle, 332 Garratt Lane, London",SW18 4EJ,525939,173090,51.44281,-0.189298,Wandsworth,Yes,No,Metropolitan (Greene King),,
545764,The Waterfront,"Unit C Public House, Baltimore House, Juniper Drive, London",SW18 1TS,526150,175478,51.464225,-0.185412,Wandsworth,Yes,No,Young & Co,,
545770,The Woodman,"60 Battersea High Street, London",SW11 3HX,526928,176538,51.473568,-0.173839,Wandsworth,Yes,No ,Independent ,,
545809,Tooting Conservative & Unionist Club,"Club Ground Floor, 12 Ashvale Road, London",SW17 8PW,527607,171401,51.427258,-0.165918,Wandsworth,No,No,n/a,,
545813,Tooting Hub (St Peters Church Hall),"Tooting Hub St Peters Church Hall, 7A Beechcroft Road, London",SW17 7BU,622675,-5527598,\N,\N,Wandsworth,No,No,n/a,,
545819,Tooting Progressive Working,"227 Mitcham Road, London",SW17 9JG,528024,170889,51.422561,-0.16011,Wandsworth,No,No,n/a,Private members club,
545836,Trafalgar Arms,"148-156 Tooting High Street, London",SW17 0RT,527244,171160,51.425173,-0.171216,Wandsworth,Yes,No,Young & Co,,
545869,United Services Club Ltd,"268 Balham High Road, London",SW17 7AJ,528205,172709,51.438878,-0.156848,Wandsworth,No,No,n/a,Private members club,
545876,Vagabond Wines,"Circus Village West, 12 Circus Road West, London",SW11 8EZ,528811,177523,51.482004,-0.146368,Wandsworth,No,No,n/a,Wine bar,
545894,Virgin Active,"112 Dolphin House, Smugglers Way, London",SW18 1DG,525909,175379,51.463379,-0.188907,Wandsworth,No,No,n/a,,
545902,Voodoo,"9 Hildreth Street, London",SW12 9RQ,528585,173357,51.444622,-0.15115,Wandsworth,No,No,n/a,cocktail bar,
545907,Wagamama,"50-54 Putney High Street, London",SW15 1SQ,524081,175485,51.464738,-0.215172,Wandsworth,No,No,n/a,cocktail bar,
