name,add,postcode,owner,lat,long,city,notes,website,history
The Railway,"202 Upper Richmond Road, London",SW15 6TD,Urban Pubs and Bars,51.461126,-0.217336,Wandsworth,,,
The Ramble Inn,"223 Mitcham Road, London",SW17 9JG,Independent,51.422661,-0.160158,Wandsworth,,,
The Regent,"21 Chestnut Grove, London",SW12 8JB,Livelyhood,51.444093,-0.153904,Wandsworth,,,
The Roundhouse Public House,"2 North Side Wandsworth Common, London",SW18 2SS,City Pub Group,51.459058,-0.174115,Wandsworth,,,
The Royal Standard,"1 Ballantine Street, London",SW18 1AL,Independent,51.460886,-0.186678,Wandsworth,,,
The Selkirk,"60 Selkirk Road, London",SW17 0ES,Indapubs,51.430299,-0.169464,Wandsworth,,,
The Ship Inn,"The Ship, 41 Jews Row, London",SW18 1TB,Young & Co,51.463493,-0.188134,Wandsworth,,,
The Telegraph PH,"The Telegraph, Telegraph Road, London",SW15 3TU,Brunning & Price,51.448792,-0.226444,Wandsworth,,,
The Tir Na Nog,"Public House, 107 Garratt Lane, London",SW18 4DW,Independent,51.452583,-0.190926,Wandsworth,,,
The Union Arms,"109 Battersea Bridge Road, London",SW11 3AT,Stonegate,51.477043,-0.168329,Wandsworth,,,
The Victoria,"166 Queenstown Road, London",SW8 3QH,Heineken,51.47286,-0.148193,Wandsworth,,,
The Wandle of Earlsfield,"The Wandle, 332 Garratt Lane, London",SW18 4EJ,Metropolitan (Greene King),51.44281,-0.189298,Wandsworth,,,
The Waterfront,"Unit C Public House, Baltimore House, Juniper Drive, London",SW18 1TS,Young & Co,51.464225,-0.185412,Wandsworth,,,
The Woodman,"60 Battersea High Street, London",SW11 3HX,Independent,51.473568,-0.173839,Wandsworth,,,
Trafalgar Arms,"148-156 Tooting High Street, London",SW17 0RT,Young & Co,51.425173,-0.171216,Wandsworth,,,
