name,add,postcode,owner,lat,long,city,notes,website,history
The Mansion House,"48 Kennington Park Road, London",SE11 4RS,,51.489343,-0.105363,Lambeth,,,
The Mulberry Bush,"89 Upper Ground, London",SE1 9PP,Young's,51.507451,-0.110241,Lambeth,,,
The New Crown & Cushion,"The New Crown And Cushion Public House, 133-135 Westminster Bridge Road, London",SE1 7HR,,51.49946,-0.114042,Lambeth,,,
The Nott,"257 Wandsworth Road, London",SW8 2NB,,51.478763,-0.12865,Lambeth,,,
The Paxton,"255 Gipsy Road, London",SE27 9QY,,51.427539,-0.087833,Lambeth,,,
The Phoenix,"348 Clapham Road, London",SW9 9AR,Harvey's,51.467861,-0.128449,Lambeth,,https://www.harveys.org.uk/pub/phoenix,
The Pilgrim,"247 Kennington Lane, London",SE11 5QU,,51.48675,-0.113545,Lambeth,,,
The Pineapple,"53 Hercules Road, London",SE1 7DZ,,51.497238,-0.113746,Lambeth,,,
The Prince of Wales,"469 Brixton Road, London",SW9 8HH,,51.461794,-0.114632,Lambeth,,,
The Prince Regent,"69 Dulwich Road, London",SE24 0NJ,,51.454253,-0.107573,Lambeth,,,
The Railway,"Railway Hotel Public House, 2 Greyhound Lane, London",SW16 5SD,,51.418532,-0.134347,Lambeth,,,
The Railway Tavern,"18 Clapham High Street, London",SW4 7UR,,51.464411,-0.132016,Lambeth,,,
The Riverside,"5 St George Wharf, London",SW8 2LE,,51.485545,-0.125881,Lambeth,,,
The Rose,"35 Albert Embankment, London",SE1 7TL,,51.489621,-0.12266,Lambeth,,,
The Rosendale,"65 Rosendale Road, London, LONDON",SE21 8EZ,,51.435718,-0.094201,Lambeth,,,
The Royal Vauxhall Tavern,"372 Kennington Lane, London",SE11 5HY,,51.486534,-0.119719,Lambeth,,,
The Ox,"50 Clapham High Street, London",SW4 7UL,,51.4636,-0.133661,Lambeth,Renamed,,
The Stage Door Pub & Kitchen,"30 Webber Street, London",SE1 8QA,,51.501266,-0.107557,Lambeth,,,
The Steam Engine,"41 - 42 Cosser Street, London",SE1 7BU,PubLove,51.497183,-0.112581,Lambeth,,,
The Stonhouse,"165 Stonhouse Street, London",SW4 6BJ,,51.464427,-0.136954,Lambeth,,,
The Sultan,"The Sultan Public House, 37-39 New Park Road, London",SW2 4DU,,51.448956,-0.124314,Lambeth,,,
The Sun,"47 Old Town, London",SW4 0JL,Mitchell & Butlers,51.464139,-0.140924,Lambeth,,,
The Sun Of Camberwell,"61 - 63 Coldharbour Lane, London",SE5 9NS,,51.469682,-0.095762,Lambeth,,,
The Surprise,"16 Southville, London",SW8 2PP,,51.474429,-0.131449,Lambeth,,,
The Swan,"2A Stockwell Road, London",SW9 9BF,,51.472037,-0.122451,Lambeth,,,
The Tankard,"111 Kennington Road, London",SE11 6SF,,51.49421,-0.110515,Lambeth,,,
The Three Stags,"67 - 69 Kennington Road, London",SE1 7PZ,,51.496902,-0.111354,Lambeth,,,
The Tommyfield,"185 Kennington Lane, London",SE11 4EZ,,51.488948,-0.11043,Lambeth,,,
The Two Towers,"201 Gipsy Road, London",SE27 9QY,,51.427539,-0.087833,Lambeth,,,
The Victory Pub & Kitchen,"1, The Balcony, Waterloo Station, London",SE1 7LY,,51.503157,-0.113271,Lambeth,,,
The Walrus,"172 Westminster Bridge Road, London",SE1 7RW,,51.499782,-0.113699,Lambeth,,,
The Wellington Hotel,"81 - 83 Waterloo Road, London",SE1 8UD,,51.504095,-0.111763,Lambeth,,,
The White Bear,"138 Kennington Park Road, London",SE11 4DJ,,51.48675,-0.108028,Lambeth,,,
The White Horse,"94 Brixton Hill, London",SW2 1QN,,51.45492,-0.119982,Lambeth,,,
The Windmill,"44 Lambeth High Street, London",SE1 7JS,,51.49313,-0.120519,Lambeth,,,
The Windmill,"86 The Cut, London",SE1 8LW,,51.503046,-0.108103,Lambeth,,,
The Windmill,"22 Blenheim Gardens, Brixton Hill, London",SW2 5BZ,Asif Aziz,51.454529,-0.122503,Lambeth,,,
The Windmill,"Clapham Common South Side, London",SW4 9DE,,51.457595,-0.145076,Lambeth,,,
Trinity Arms,"45 Trinity Gardens, London",SW9 8DR,,51.461933,-0.118787,Lambeth,,,
Tulse Hill Hotel,"150 Norwood Road, London",SE24 9AY,,51.441857,-0.106215,Lambeth,,,
The Bread And Roses,"68 Clapham Manor Street, London",SW4 6DZ,,51.465868,-0.13654,Lambeth,,,
Vaulty Towers,"34 Lower Marsh, London",SE1 7RG,,51.501049,-0.111846,Lambeth,,,
Venn Street Records,"78 Venn Street, London",SW4 0AT,,51.46362,-0.138268,Lambeth,,,
Waterloo Tap,"Arch 147, Sutton Walk, London",SE1 7ES,,51.50448,-0.114828,Lambeth,,,
The White Lion,"232 - 234 Streatham High Road, London",SW16 1BB,,51.431148,-0.12982,Lambeth,,,
The Jolly Gardeners,"49-51 Black Prince Road, London",SE11 6AB,,51.491649,-0.119033,Lambeth,,,
Alleyns head,"Alleyns Head, 75, Alleyn Park, London",SE21 8BW,,51.436847,-0.088428,Lambeth,,,
Gipsy Hill Brewing Company - Taproom,"Unit 5, 160 Hamilton Rd, Norwood, London ",SE27 9SF,,51.42849527,-0.08882826321,Lambeth,,,
London Beer Lab Taproom and Nano Brewery,"Arch 41, Railway Arches, Nursery Rd, London",SW9 8BP,,51.46342008,-0.1162376352,Lambeth,,,
Supercute Brewhouse,"Unit G1, Coldharbour Works, 245a Coldharbour Ln, London",SW9 8RR,,51.46476468,-0.1031463297,Lambeth,,,
Brixton Brewery Taproom,"Arch 548 Brixton Station Rd, London",SW9 8PF,,51.46350644,-0.1093365335,Lambeth,,,
Bullfinch Brewery,"Rosendale Rd, Norwood, London",SE24 9EH,,51.44817732,-0.101532802,Lambeth,,,
The Hercules,"2 Kennington Rd, London",SE1 7BL,,51.49827114,-0.1124787247,Lambeth,,,
